id,source,type,family,gold,predicted,max_probability,entropy_confidence,gold_nll,score_mae,state,instructions,criteria
v2-gen-score-06-029,generated,score,約束時刻からの遅れ,4,3,0.7023434335917842,0.49024961659284494,2.48881890491814,1.1599185736753017,草原便は9時到着の約束でした。実際の到着は同じ日の13時です。早着した場合の遅れは0時間とします。,到着の遅れを段階基準で評価してください。,"[""遅れが1時間未満"", ""遅れが1時間以上、2時間未満"", ""遅れが2時間以上、3時間未満"", ""遅れが3時間以上、4時間未満"", ""遅れが4時間以上、5時間未満"", ""遅れが5時間以上、6時間未満"", ""遅れが6時間以上""]"
v2-gen-score-06-019,generated,score,約束時刻からの遅れ,2,1,0.6963763492659282,0.5081031074441441,1.2415643656260695,0.695694238007331,"{""便"": ""朝露"", ""約束時刻"": 12, ""実際の到着時刻"": 14, ""同日"": true, ""早着時の遅れ"": 0}",約束時刻と到着時刻の差から、遅延段階を選んでください。,"[""遅れが1時間未満"", ""遅れが1時間以上、2時間未満"", ""遅れが2時間以上、3時間未満"", ""遅れが3時間以上""]"
v2-gen-score-13-038,generated,score,取消しを反映した件数,0,1,0.6939166152556462,0.11139945343629454,1.1838977149863552,0.6939166152556462,草原の申込み記録: 木村は未受付・取消なし、遠藤は未受付・取消なし、渡辺は受付済み・取消済み、石田は受付済み・取消済み、中村は未受付・取消なし。取消済みの申込みは有効件数から除きます。1件以上は最終段階1にまとめます。,現在有効な申込みだけを数えて評価してください。,"[""有効申込みが0件"", ""有効申込みが1件以上""]"
v2-gen-noul-10-012,generated,noul,条件付き義務,true,false,0.692664978575423,0.1099267902870964,1.1798168514040401,,"{""規則"": ""追加申請なら依頼者への通知が必要。それ以外では義務なし"", ""条件に該当"": false, ""必要処置を実施"": true}",この案件は記載された義務のルールに違反していませんか。違反がなければはいです。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
manual_v2_choice_025,manual,choice,arithmetic,option_3,option_1,0.6907474631118862,0.4066352151448295,2.3143325199221967,,音の練習は1区間が3分。4区間の間に1分の休憩を3回挟み、最後の区間の後には休憩を置かない。,開始から終了までの時間を選ぶ。,"{""option_0"": ""12分"", ""option_1"": ""13分"", ""option_2"": ""14分"", ""option_3"": ""15分"", ""option_4"": ""16分""}"
v2-gen-noul-06-028,generated,noul,更新後の状態,true,false,0.6885854015336252,0.10520037355031542,1.1666301405706896,,青空の状態記録: 18時には空席あり、14時には満席、12時には空席あり、15時には満席。時刻が新しい記録が古い記録を上書きします。,現在の状態は「空席あり」ですか。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-score-07-046,generated,score,証拠の最高到達段階,1,0,0.6801847942336184,0.3278861639961079,1.2579652651225637,0.644601363290854,この調査固有の証拠段階表: 担当者報告は段階1、立会記録は段階2。木漏れ日で得られた証拠は担当者報告。複数ある場合は最大の段階を使い、なければ0です。,この調査の証拠段階を選んでください。,"[""証拠なしの段階0"", ""表に基づく最高証拠段階1"", ""表に基づく最高証拠段階2""]"
v2-gen-score-06-028,generated,score,約束時刻からの遅れ,3,1,0.6770597840380288,0.4273870824878404,2.7980217407416514,1.6798121745309529,"{""便"": ""夕凪"", ""約束時刻"": 11, ""実際の到着時刻"": 17, ""同日"": true, ""早着時の遅れ"": 0}",遅れの時間に対応する段階を答えてください。,"[""遅れが2時間未満"", ""遅れが2時間以上、4時間未満"", ""遅れが4時間以上、6時間未満"", ""遅れが6時間以上、8時間未満"", ""遅れが8時間以上、10時間未満"", ""遅れが10時間以上""]"
v2-gen-score-15-009,generated,score,軽重のある項目,3,2,0.6760855586643287,0.4819055530283116,3.6453403476118806,0.12940591762773312,この点検の配点: 誤字は2点、署名欠落は1点、添付欠落は1点、日付欠落は1点、宛名不備は1点、頁番号欠落は1点、余白不備は1点。見つかった不備: 誤字、宛名不備。該当項目の点を合計し、7点以上は段階7にまとめます。,項目数ではなく指定された点数で評価してください。,"[""不備点の合計が0点"", ""不備点の合計が1点"", ""不備点の合計が2点"", ""不備点の合計が3点"", ""不備点の合計が4点"", ""不備点の合計が5点"", ""不備点の合計が6点"", ""不備点の合計が7点以上""]"
v2-gen-noul-14-048,generated,noul,予定時間の重なり,true,false,0.6748326113292488,0.09008746697948578,1.1234151871771891,,"{""対象者"": ""加藤"", ""会議"": [11, 13], ""面談"": [11, 13], ""規則"": ""終了時刻と開始時刻が一致するだけなら重複なし""}",指定された端点の扱いで予定の重複はありますか。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-noul-10-005,generated,noul,条件付き義務,false,true,0.6635462839518024,0.07861534049986751,1.089294684533793,,"{""規則"": ""夜間受付なら上長の承認が必要。それ以外では義務なし"", ""条件に該当"": true, ""必要処置を実施"": false}",この案件は記載された義務のルールに違反していませんか。違反がなければはいです。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-noul-10-033,generated,noul,条件付き義務,false,true,0.6607542448569628,0.07590488489530878,1.0810304928199068,,規則: 新規申請のときだけ控えの交付が必須です。それ以外の場合にはこの義務はなく、実施していても構いません。今回の案件は新規申請に該当で、控えの交付は未実施です。,この案件は記載された義務のルールに違反していませんか。違反がなければはいです。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-score-10-049,generated,score,不足の段階,4,3,0.6504525115953245,0.4726700396839073,2.36570180151398,1.1681611845694388,灯台申請で必要なものは受領票、添付図、確認票、同意書、見積書。届いたものは見積書、案内状です。必要一覧にない書類は不足を埋めません。,必要一覧と届いた一覧を照合し、不足の程度を判定してください。,"[""不足が0種類"", ""不足が1種類"", ""不足が2種類"", ""不足が3種類"", ""不足が4種類"", ""不足が5種類""]"
v2-gen-score-13-023,generated,score,取消しを反映した件数,7,6,0.6479340515168037,0.5107322571221357,1.9197837544885727,1.1382760077493117,"{""催し"": ""春風"", ""申込み"": [{""氏名"": ""加藤"", ""受付済み"": true, ""取消済み"": false}, {""氏名"": ""中村"", ""受付済み"": true, ""取消済み"": false}, {""氏名"": ""高橋"", ""受付済み"": true, ""取消済み"": false}, {""氏名"": ""上田"", ""受付済み"": true, ""取消済み"": false}, {""氏名"": ""森"", ""受付済み"": true, ""取消済み"": false}, {""氏名"": ""渡辺"", ""受付済み"": true, ""取消済み"": false}, {""氏名"": ""吉田"", ""受付済み"": true, ""取消済み"": true}, {""氏名"": ""佐藤"", ""受付済み"": true, ""取消済み"": false}], ""まとめ方"": ""7件以上は段階7""}",取消し後に残る有効申込み数を段階として選んでください。,"[""有効申込みが0件"", ""有効申込みが1件"", ""有効申込みが2件"", ""有効申込みが3件"", ""有効申込みが4件"", ""有効申込みが5件"", ""有効申込みが6件"", ""有効申込みが7件以上""]"
v2-gen-score-04-002,generated,score,独立チェックの合計,3,2,0.6391381988740906,0.5573527158710618,1.1131775835073705,0.6377476482985229,山道資料の点検: 承認印ありは満たす、ページ番号ありは満たす、管理番号ありは満たさない、連絡先ありは満たす、日付ありは満たさない。各項目は一つずつ数えます。,条件を満たした項目を一つ一点として集計してください。,"[""満たした項目が0個"", ""満たした項目が1個"", ""満たした項目が2個"", ""満たした項目が3個"", ""満たした項目が4個"", ""満たした項目が5個""]"
v2-gen-score-08-022,generated,score,要件への一致数,3,2,0.6342057924702558,0.5585043676127682,1.149579641366497,0.6213261813301476,"{""注文要件"": {""サイズ"": ""大"", ""印字"": ""なし"", ""素材"": ""布"", ""包装"": ""なし"", ""配送"": ""宅配"", ""形"": ""三角""}, ""提案品"": {""サイズ"": ""小"", ""印字"": ""あり"", ""素材"": ""布"", ""包装"": ""箱"", ""配送"": ""宅配"", ""形"": ""三角""}}",提案品が満たす要件数はいくつの段階ですか。,"[""一致した要件が0項目"", ""一致した要件が1項目"", ""一致した要件が2項目"", ""一致した要件が3項目"", ""一致した要件が4項目"", ""一致した要件が5項目"", ""一致した要件が6項目""]"
v2-gen-score-09-047,generated,score,例外による上限,3,1,0.6309879618268092,0.3086063476187423,3.698556897163705,1.810340255985075,"{""検査合格"": {""動作"": true, ""表示"": true, ""付属品"": true}, ""要再確認の印あり"": false, ""採点規則"": ""合格数が点数。ただし印があれば上限1点""}",上限制限を適用した最終点を選んでください。,"[""最終点0点"", ""最終点1点"", ""最終点2点"", ""最終点3点""]"
v2-gen-score-05-050,generated,score,緊急条件の加点,5,4,0.6276908383133905,0.5740106164985139,1.0429006804518464,0.701435002702663,"{""案件"": ""山道"", ""基本優先度"": 4, ""締切までの残り時間"": 5, ""規則"": ""残り6時間以内なら1加点、それより長ければ0加点。上限5""}",今回の最終優先段階を求めてください。,"[""最終優先度0"", ""最終優先度1"", ""最終優先度2"", ""最終優先度3"", ""最終優先度4"", ""最終優先度5""]"
v2-gen-noul-10-048,generated,noul,条件付き義務,true,false,0.6275842780523716,0.047491094824332225,0.9877445165658957,,"{""規則"": ""追加申請なら依頼者への通知が必要。それ以外では義務なし"", ""条件に該当"": true, ""必要処置を実施"": true}",この案件は記載された義務のルールに違反していませんか。違反がなければはいです。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-score-15-023,generated,score,軽重のある項目,5,4,0.6137759044648333,0.4677228346789635,2.955957435403423,0.20391005617684144,この点検の配点: 余白不備は2点、日付欠落は1点、署名欠落は1点、頁番号欠落は1点、宛名不備は1点、誤字は1点、添付欠落は1点。見つかった不備: 余白不備、頁番号欠落、誤字、添付欠落。該当項目の点を合計し、7点以上は段階7にまとめます。,項目数ではなく指定された点数で評価してください。,"[""不備点の合計が0点"", ""不備点の合計が1点"", ""不備点の合計が2点"", ""不備点の合計が3点"", ""不備点の合計が4点"", ""不備点の合計が5点"", ""不備点の合計が6点"", ""不備点の合計が7点以上""]"
v2-gen-noul-09-049,generated,noul,重複を除いた件数,true,false,0.6058840093819321,0.0325955624895764,0.9311100205775078,,灯台棚で読み取った品名はカード、付箋、袋、ケース、冊子、袋でした。同じ品名の繰り返しは一種類として数えます。,品物の種類は5種類以上ありますか。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-score-12-009,generated,score,目標からの差,6,5,0.6051010924322199,0.4365581333955192,1.493136555213777,0.9511115270294965,白波の目標数は11個、実績は5個です。多すぎても少なすぎても、目標から何個離れたかで評価します。差が7個以上なら最終段階7にまとめます。,目標からのずれの段階を選んでください。,"[""目標との差が0個"", ""目標との差が1個"", ""目標との差が2個"", ""目標との差が3個"", ""目標との差が4個"", ""目標との差が5個"", ""目標との差が6個"", ""目標との差が7個以上""]"
v2-gen-noul-11-029,generated,noul,参照関係の真偽,true,false,0.6042642451261949,0.031598548039551644,0.9270085761340406,,"{""案件担当"": {""青空"": ""石田"", ""夕凪"": ""佐藤"", ""星空"": ""青木"", ""山道"": ""高橋"", ""朝露"": ""吉田""}, ""資料関連先"": {""カード"": ""山道"", ""付箋"": ""星空"", ""冊子"": ""夕凪"", ""ノート"": ""青空"", ""シール"": ""朝露""}}",吉田さんはシールが属する案件の担当者と言えますか。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-score-06-014,generated,score,約束時刻からの遅れ,1,0,0.602985340713821,0.6100422734806019,0.9339488099134999,0.5961168390385794,"{""便"": ""白波"", ""約束時刻"": 9, ""実際の到着時刻"": 10, ""同日"": true, ""早着時の遅れ"": 0}",遅れの時間に対応する段階を答えてください。,"[""遅れが1時間未満"", ""遅れが1時間以上、2時間未満"", ""遅れが2時間以上、3時間未満"", ""遅れが3時間以上、4時間未満"", ""遅れが4時間以上、5時間未満"", ""遅れが5時間以上""]"
v2-gen-choice-10-042,generated,choice,不在時の代理,佐藤,石田,0.6001458007518891,0.16854173399009365,2.157177417249727,,"{""案件担当"": {""水面"": ""佐藤"", ""星空"": ""加藤"", ""木漏れ日"": ""石田""}, ""代理者"": {""佐藤"": ""加藤"", ""加藤"": ""石田"", ""石田"": ""佐藤""}, ""不在者"": [""加藤"", ""石田""], ""案件"": ""木漏れ日"", ""ルール"": ""担当者が不在なら指定代理に一度だけ振替。代理の在席状況は問わない""}",一回だけの代理振替を適用した後の宛先を答えてください。,"{""佐藤"": ""佐藤さん"", ""加藤"": ""加藤さん"", ""石田"": ""石田さん""}"
v2-gen-score-12-012,generated,score,目標からの差,3,2,0.5956702139727796,0.2992345680629469,1.8007790865417204,1.0787315890450007,"{""案件"": ""星空"", ""目標数"": 11, ""実績数"": 8, ""採点"": ""差の絶対値。ただし3以上は段階3""}",示された上限を含め、実績のずれを段階に変換してください。,"[""目標との差が0個"", ""目標との差が1個"", ""目標との差が2個"", ""目標との差が3個以上""]"
v2-gen-choice-03-020,generated,choice,最終更新,未着手,発送済み,0.5937219794146101,0.025495258021433376,0.9007175739681174,,"{""案件"": ""若葉"", ""更新記録"": [{""時"": 17, ""状態"": ""発送済み""}, {""時"": 20, ""状態"": ""未着手""}, {""時"": 10, ""状態"": ""未着手""}]}",最後の時刻の記録が有効です。現在の状態はどれですか。,"{""未着手"": ""未着手"", ""発送済み"": ""発送済み""}"
v2-gen-choice-11-022,generated,choice,小数量の比較,付箋,テープ,0.5850176695747298,0.5322586677651122,1.0780201651968992,,入出庫記録: 冊子は在庫6個、そのうち予約1個、袋は在庫7個、そのうち予約1個、ペンは在庫6個、そのうち予約5個、ケースは在庫5個、そのうち予約3個、テープは在庫13個、そのうち予約3個、カードは在庫7個、そのうち予約4個、付箋は在庫11個、そのうち予約0個、ファイルは在庫3個、そのうち予約3個。予約分は自由在庫に含めません。,自由在庫が最も多い品を選んでください。,"{""カード"": ""カード"", ""ケース"": ""ケース"", ""テープ"": ""テープ"", ""ファイル"": ""ファイル"", ""ペン"": ""ペン"", ""付箋"": ""付箋"", ""冊子"": ""冊子"", ""袋"": ""袋""}"
v2-gen-choice-06-033,generated,choice,時間枠の包含,赤,白,0.5816622481735972,0.29468408837962456,2.5568529158526734,,部屋の連続利用可能時間: 白室は12時から16時まで、茶室は10時から13時まで、紫室は12時から16時まで、赤室は10時から15時まで、青室は12時から16時まで、緑室は10時から13時まで、黄室は12時から15時まで。会議は11時開始、14時終了です。,会議時間の一部だけでなく全体を含む空き時間を持つ部屋を答えてください。端の一致は可です。,"{""白"": ""白室"", ""紫"": ""紫室"", ""緑"": ""緑室"", ""茶"": ""茶室"", ""赤"": ""赤室"", ""青"": ""青室"", ""黄"": ""黄室""}"
v2-gen-score-09-049,generated,score,例外による上限,3,2,0.5813751825311951,0.44961903546881754,1.1004116623271132,0.535654201534161,検査合格状況: 外観は合格、寸法は合格、記録は合格、表示は不合格、動作は不合格。合格項目一つにつき1点ですが、要再確認の印があれば上限3点に制限します。今回その印はありません。,上限制限を適用した最終点を選んでください。,"[""最終点0点"", ""最終点1点"", ""最終点2点"", ""最終点3点"", ""最終点4点"", ""最終点5点""]"
v2-gen-score-10-015,generated,score,不足の段階,2,3,0.5810070585405475,0.4174833711700545,1.3493069576507775,0.7479954797167738,白波申請で必要なものは確認票、受領票、見積書、申込書、承認書、同意書。届いたものは確認票、申込書、同意書、受領票、案内状です。必要一覧にない書類は不足を埋めません。,必要書類の不足数に対応する段階を選んでください。,"[""不足が0種類"", ""不足が1種類"", ""不足が2種類"", ""不足が3種類"", ""不足が4種類"", ""不足が5種類"", ""不足が6種類""]"
v2-gen-choice-12-020,generated,choice,条件付き不足書類,承認書,追加不要,0.5789277064009285,0.2568573979830293,0.9690026813390249,,"{""確認優先順"": [""委任状"", ""承認書""], ""代理申請だけに必要"": ""委任状"", ""代理申請"": false, ""提出済み"": [""委任状""]}",必要な不足書類を先頭から一つだけ案内します。どれですか。必要書類に不足がなければ追加不要です。,"{""委任状"": ""委任状"", ""承認書"": ""承認書"", ""追加不要"": ""必要書類はすべて提出済み""}"
v2-gen-score-12-041,generated,score,目標からの差,3,4,0.5767644183419977,0.25888768050863686,2.55962070064144,0.03361437346727758,山道の目標数は9個、実績は12個です。多すぎても少なすぎても、目標から何個離れたかで評価します。差が4個以上なら最終段階4にまとめます。,不足・超過の向きではなく差の大きさで評価してください。,"[""目標との差が0個"", ""目標との差が1個"", ""目標との差が2個"", ""目標との差が3個"", ""目標との差が4個以上""]"
v2-gen-choice-06-037,generated,choice,時間枠の包含,黄,赤,0.574380196879418,0.273029209595006,2.768185836246851,,"{""空き時間"": [{""部屋"": ""赤"", ""開始"": 14, ""終了"": 18}, {""部屋"": ""青"", ""開始"": 14, ""終了"": 17}, {""部屋"": ""黒"", ""開始"": 11, ""終了"": 15}, {""部屋"": ""茶"", ""開始"": 14, ""終了"": 17}, {""部屋"": ""黄"", ""開始"": 12, ""終了"": 17}, {""部屋"": ""白"", ""開始"": 12, ""終了"": 15}], ""会議開始"": 13, ""会議終了"": 16}",会議開始から終了まで空いている部屋はどれですか。境界時刻が一致していても利用できます。,"{""白"": ""白室"", ""茶"": ""茶室"", ""赤"": ""赤室"", ""青"": ""青室"", ""黄"": ""黄室"", ""黒"": ""黒室""}"
v2-gen-score-06-020,generated,score,約束時刻からの遅れ,3,2,0.5708945384720575,0.37333622509913167,1.2021006935383143,0.7927642754065669,春風便は7時到着の約束でした。実際の到着は同じ日の10時です。早着した場合の遅れは0時間とします。,到着の遅れを段階基準で評価してください。,"[""遅れが1時間未満"", ""遅れが1時間以上、2時間未満"", ""遅れが2時間以上、3時間未満"", ""遅れが3時間以上、4時間未満"", ""遅れが4時間以上""]"
v2-gen-score-10-036,generated,score,不足の段階,5,4,0.5680485892527856,0.369900087413395,2.1746440595051246,1.3044336361212983,夕凪申請で必要なものは受領票、添付図、申込書、承認書、見積書、同意書。届いたものは申込書、参考資料です。必要一覧にない書類は不足を埋めません。,必要書類の不足数に対応する段階を選んでください。,"[""不足が0種類"", ""不足が1種類"", ""不足が2種類"", ""不足が3種類"", ""不足が4種類"", ""不足が5種類"", ""不足が6種類""]"
v2-gen-score-13-018,generated,score,取消しを反映した件数,0,2,0.5641151516257094,0.10173641682617873,1.5536476103994796,1.3526399654446066,夕凪の申込み記録: 松本は未受付・取消なし、高橋は未受付・取消なし、林は未受付・取消なし、渡辺は未受付・取消なし、森は未受付・取消なし。取消済みの申込みは有効件数から除きます。2件以上は最終段階2にまとめます。,現在有効な申込みだけを数えて評価してください。,"[""有効申込みが0件"", ""有効申込みが1件"", ""有効申込みが2件以上""]"
v2-gen-score-06-044,generated,score,約束時刻からの遅れ,1,0,0.5638835179181892,0.6539374738883126,0.8415499658742652,0.5535379711486182,朝露便は5時到着の約束でした。実際の到着は同じ日の7時です。早着した場合の遅れは0時間とします。,約束時刻と到着時刻の差から、遅延段階を選んでください。,"[""遅れが2時間未満"", ""遅れが2時間以上、4時間未満"", ""遅れが4時間以上、6時間未満"", ""遅れが6時間以上、8時間未満"", ""遅れが8時間以上、10時間未満"", ""遅れが10時間以上、12時間未満"", ""遅れが12時間以上、14時間未満"", ""遅れが14時間以上""]"
v2-gen-score-15-015,generated,score,軽重のある項目,2,4,0.5638557201598903,0.391838167619287,4.6916884136788335,1.9427574504455962,"{""不備ごとの配点"": {""署名欠落"": 2, ""日付欠落"": 1, ""誤字"": 1, ""余白不備"": 1, ""頁番号欠落"": 1, ""宛名不備"": 1}, ""不備あり"": {""署名欠落"": false, ""日付欠落"": false, ""誤字"": false, ""余白不備"": false, ""頁番号欠落"": true, ""宛名不備"": true}, ""上限"": 6}",見つかった不備の点数を合計し、上限を適用してください。,"[""不備点の合計が0点"", ""不備点の合計が1点"", ""不備点の合計が2点"", ""不備点の合計が3点"", ""不備点の合計が4点"", ""不備点の合計が5点"", ""不備点の合計が6点以上""]"
v2-gen-choice-10-002,generated,choice,不在時の代理,石田,松本,0.5505372677246418,0.25822204479826116,3.1987395591423273,,担当者: 水面は石田、青空は加藤、灯台は上田、春風は木村、木漏れ日は森、朝露は松本。代理者: 石田の代理は加藤、加藤の代理は上田、上田の代理は木村、木村の代理は森、森の代理は松本、松本の代理は石田。本日の不在者は石田、森、上田、松本。問い合わせ先の案件は朝露です。代理への振替は一回だけ行い、その先の不在は判定しません。,この案件を担当本人または指定代理に連絡します。宛先は誰ですか。,"{""上田"": ""上田さん"", ""加藤"": ""加藤さん"", ""木村"": ""木村さん"", ""松本"": ""松本さん"", ""森"": ""森さん"", ""石田"": ""石田さん""}"
v2-gen-score-05-020,generated,score,緊急条件の加点,3,2,0.5470769807178256,0.3386509155883244,0.9877707777230624,0.7121932651537888,"{""案件"": ""若葉"", ""基本優先度"": 2, ""締切までの残り時間"": 3, ""規則"": ""残り6時間以内なら1加点、それより長ければ0加点。上限3""}",締切までの時間による条件を反映した段階を答えてください。,"[""最終優先度0"", ""最終優先度1"", ""最終優先度2"", ""最終優先度3""]"
v2-gen-choice-10-018,generated,choice,不在時の代理,大野,松本,0.5464883743525641,0.36112382027606504,2.279296735172893,,"{""案件担当"": {""星空"": ""松本"", ""木漏れ日"": ""加藤"", ""朝露"": ""大野"", ""青空"": ""森"", ""若葉"": ""石田""}, ""代理者"": {""松本"": ""加藤"", ""加藤"": ""大野"", ""大野"": ""森"", ""森"": ""石田"", ""石田"": ""松本""}, ""不在者"": [""森"", ""加藤"", ""石田"", ""大野""], ""案件"": ""木漏れ日"", ""ルール"": ""担当者が不在なら指定代理に一度だけ振替。代理の在席状況は問わない""}",この案件を担当本人または指定代理に連絡します。宛先は誰ですか。,"{""加藤"": ""加藤さん"", ""大野"": ""大野さん"", ""松本"": ""松本さん"", ""森"": ""森さん"", ""石田"": ""石田さん""}"
v2-gen-noul-06-041,generated,noul,更新後の状態,false,true,0.5464828950313655,0.006243356967748914,0.7907222924565759,,"{""対象"": ""春風"", ""更新記録"": [{""時刻"": 11, ""状態"": ""点検中""}, {""時刻"": 17, ""状態"": ""空席あり""}, {""時刻"": 21, ""状態"": ""使用可能""}, {""時刻"": 7, ""状態"": ""使用可能""}, {""時刻"": 18, ""状態"": ""受付中""}], ""規則"": ""最新時刻の記録が有効""}",最新の有効な記録から「受付中」と言えますか。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-score-09-039,generated,score,例外による上限,2,0,0.5461806697144875,0.19546416073219497,2.6604967611588406,1.4762671869003348,"{""検査合格"": {""動作"": true, ""表示"": true}, ""要再確認の印あり"": false, ""採点規則"": ""合格数が点数。ただし印があれば上限1点""}",上限制限を適用した最終点を選んでください。,"[""最終点0点"", ""最終点1点"", ""最終点2点""]"
v2-gen-score-10-016,generated,score,不足の段階,1,0,0.5447509561637882,0.5471346904407071,0.9202940623104217,0.42312568894900504,"{""申請"": ""木漏れ日"", ""必要書類"": [""申込書"", ""承認書"", ""確認票"", ""同意書"", ""受領票"", ""見積書"", ""添付図""], ""届いた書類"": [""受領票"", ""添付図"", ""確認票"", ""見積書"", ""承認書"", ""同意書""], ""余分な書類で代用できる"": false}",未提出の必要書類はいくつの段階ですか。,"[""不足が0種類"", ""不足が1種類"", ""不足が2種類"", ""不足が3種類"", ""不足が4種類"", ""不足が5種類"", ""不足が6種類"", ""不足が7種類""]"
v2-gen-score-12-039,generated,score,目標からの差,2,1,0.5444020436467655,0.25593329359781725,0.870737172609107,0.6183123094590877,水面の目標数は13個、実績は15個です。多すぎても少なすぎても、目標から何個離れたかで評価します。差が2個以上なら最終段階2にまとめます。,不足・超過の向きではなく差の大きさで評価してください。,"[""目標との差が0個"", ""目標との差が1個"", ""目標との差が2個以上""]"
v2-gen-noul-09-007,generated,noul,重複を除いた件数,true,false,0.5439207503754141,0.005573190899203051,0.7850886915316387,,水面棚で読み取った品名は付箋、封筒、カード、冊子、名札、封筒、ファイル、名札、カード、ノートでした。同じ品名の繰り返しは一種類として数えます。,品物の種類は6種類以上ありますか。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-noul-09-005,generated,noul,重複を除いた件数,true,false,0.5426184441445868,0.005247190273755642,0.7822373220905848,,灯台棚で読み取った品名はシール、ノート、ラベル、シール、封筒、箱、シール、箱、袋、ファイル、箱でした。同じ品名の繰り返しは一種類として数えます。,品物の種類は6種類以上ありますか。,"{""false"": ""いいえ。質問の命題は成立しない。"", ""true"": ""はい。質問の命題が成立する。""}"
v2-gen-score-09-038,generated,score,例外による上限,0,1,0.5404314300003027,0.004721902507627718,0.7774671208992483,0.5404314300003027,"{""検査合格"": {""包装"": false}, ""要再確認の印あり"": false, ""採点規則"": ""合格数が点数。ただし印があれば上限0点""}",上限制限を適用した最終点を選んでください。,"[""最終点0点"", ""最終点1点""]"
v2-gen-score-06-026,generated,score,約束時刻からの遅れ,3,2,0.5404053082411517,0.2523640333027771,1.4072759607028773,0.9764309976848748,若葉便は12時到着の約束でした。実際の到着は同じ日の18時です。早着した場合の遅れは0時間とします。,遅れの時間に対応する段階を答えてください。,"[""遅れが2時間未満"", ""遅れが2時間以上、4時間未満"", ""遅れが4時間以上、6時間未満"", ""遅れが6時間以上""]"
manual_v2_noul_014,manual,noul,arithmetic,false,true,0.5374545356318913,0.004051541173438866,0.7710104255244655,,"{""鉢の数"": 4, ""各鉢にまきたい種の数"": 3, ""持っている種の数"": 11}",すべての鉢に指定通りまけるか。,"{""false"": ""いいえ"", ""true"": ""はい""}"
v2-gen-score-15-036,generated,score,軽重のある項目,5,6,0.5325919121595705,0.3996256707210639,2.7019153123686523,0.01333173685945166,この点検の配点: 宛名不備は2点、頁番号欠落は1点、署名欠落は1点、添付欠落は1点、日付欠落は1点、余白不備は1点。見つかった不備: 宛名不備、署名欠落、添付欠落、日付欠落。該当項目の点を合計し、6点以上は段階6にまとめます。,項目数ではなく指定された点数で評価してください。,"[""不備点の合計が0点"", ""不備点の合計が1点"", ""不備点の合計が2点"", ""不備点の合計が3点"", ""不備点の合計が4点"", ""不備点の合計が5点"", ""不備点の合計が6点以上""]"
v2-gen-score-04-048,generated,score,独立チェックの合計,1,2,0.5304039524733064,0.3359684086273633,0.7718508266383115,0.5229648088874392,夕凪資料の点検: 宛先ありは満たさない、添付ありは満たす。各項目は一つずつ数えます。,条件を満たした項目を一つ一点として集計してください。,"[""満たした項目が0個"", ""満たした項目が1個"", ""満たした項目が2個""]"
v2-gen-choice-06-003,generated,choice,時間枠の包含,青,白,0.5273681583258203,0.4721932119408385,1.8358279870967456,,"{""空き時間"": [{""部屋"": ""紫"", ""開始"": 14, ""終了"": 18}, {""部屋"": ""黄"", ""開始"": 12, ""終了"": 15}, {""部屋"": ""青"", ""開始"": 12, ""終了"": 16}, {""部屋"": ""黒"", ""開始"": 11, ""終了"": 15}, {""部屋"": ""茶"", ""開始"": 11, ""終了"": 15}, {""部屋"": ""緑"", ""開始"": 12, ""終了"": 15}, {""部屋"": ""赤"", ""開始"": 11, ""終了"": 15}, {""部屋"": ""白"", ""開始"": 14, ""終了"": 18}], ""会議開始"": 13, ""会議終了"": 16}",会議の全時間を連続して確保できる部屋を選んでください。開始・終了の一致は許可します。,"{""白"": ""白室"", ""紫"": ""紫室"", ""緑"": ""緑室"", ""茶"": ""茶室"", ""赤"": ""赤室"", ""青"": ""青室"", ""黄"": ""黄室"", ""黒"": ""黒室""}"
